image_name,tags
test_553,primary
test_554,clear primary
test_555,primary
test_556,cloudy water
test_557,clear primary
test_558,agriculture cloudy road
test_559,clear primary
test_560,clear primary
test_561,clear primary
test_562,agriculture clear primary
test_563,clear primary
test_564,agriculture bare_ground clear cloudy habitation road slash_burn
test_565,haze primary road
test_566,clear primary
test_567,clear partly_cloudy primary water
test_568,agriculture clear cloudy habitation road
test_569,clear primary
test_570,clear primary
test_571,clear primary
test_572,primary
test_573,primary
test_574,clear primary
test_575,clear primary
test_576,clear primary
test_577,primary
test_578,partly_cloudy primary
test_579,clear primary
test_580,primary
test_581,clear primary
test_582,agriculture clear primary
test_583,clear primary water
test_584,clear primary
test_585,primary water
test_586,clear primary
test_587,clear primary
test_588,clear primary
test_589,clear primary water
test_590,agriculture clear primary
test_591,agriculture primary
test_592,clear primary
test_593,clear primary road
test_594,agriculture clear primary road
test_595,agriculture artisinal_mine partly_cloudy primary road
test_596,clear primary road
test_597,clear primary
test_598,clear partly_cloudy primary water
test_599,primary
test_600,clear primary
test_601,primary road
test_602,cloudy haze
test_603,clear primary
test_604,agriculture road water
test_605,clear primary
test_606,agriculture clear primary road
test_607,clear primary
test_608,clear primary
test_609,primary
test_610,clear primary
test_611,agriculture clear haze primary
test_612,clear primary
test_613,cloudy partly_cloudy primary water
test_614,clear primary
test_615,clear primary
test_616,clear primary
test_617,clear primary
test_618,clear primary
test_619,agriculture clear habitation primary road
test_620,agriculture clear primary road
test_621,clear primary
test_622,clear cultivation primary
test_623,clear primary
test_624,clear primary
test_625,clear primary
test_626,clear primary
test_627,agriculture clear primary
test_628,primary
test_629,clear primary
test_630,agriculture water
test_631,primary
test_632,cloudy primary
test_633,clear primary
test_634,clear partly_cloudy primary road
test_635,clear primary
test_636,clear primary
test_637,clear primary
test_638,clear primary
test_639,clear primary
test_640,clear primary
test_641,agriculture clear primary road water
test_642,agriculture habitation partly_cloudy primary road
test_643,clear primary
test_644,clear primary road
test_645,primary water
test_646,clear primary
test_647,agriculture clear primary
test_648,agriculture clear habitation primary road water
test_649,agriculture clear primary
test_650,partly_cloudy primary water
test_651,agriculture clear road water
test_652,agriculture clear primary
test_653,clear primary
test_654,cloudy primary
test_655,clear primary
test_656,clear primary
test_657,agriculture clear primary
test_658,clear primary
test_659,agriculture clear primary
test_660,agriculture clear primary
test_661,clear primary
test_662,primary
test_663,agriculture clear primary
test_664,cloudy haze
test_665,clear primary
test_666,clear primary
test_667,clear primary
test_668,clear primary
test_669,clear primary
test_670,haze primary road
test_671,agriculture clear primary road water
test_672,clear primary
test_673,clear primary
test_674,habitation partly_cloudy primary road
test_675,primary
test_676,primary
test_677,clear primary
test_678,clear primary road
test_679,cloudy primary
test_680,clear primary
test_681,clear primary
test_682,primary
test_683,clear partly_cloudy primary
test_684,clear primary
test_685,clear primary
test_686,clear primary
test_687,cloudy
test_688,primary water
test_689,clear primary
test_690,clear primary
test_691,clear habitation primary
test_692,primary
test_693,clear primary
test_694,primary
test_695,clear primary
test_696,agriculture clear cloudy
test_697,partly_cloudy primary water
test_698,clear primary water
test_699,clear primary
test_700,clear habitation primary road water
test_701,agriculture cultivation habitation primary road
test_702,cloudy partly_cloudy
test_703,clear primary water
test_704,clear primary
test_705,clear primary
test_706,clear primary
test_707,clear primary
test_708,clear primary
test_709,cloudy haze partly_cloudy
test_710,clear primary
test_711,primary
test_712,primary
test_713,clear primary road
test_714,
test_715,clear primary road water
test_716,clear primary
test_717,clear primary road
test_718,clear primary
test_719,clear primary
test_720,cultivation partly_cloudy primary
test_721,clear primary
test_722,clear primary
test_723,partly_cloudy primary road
test_724,agriculture clear primary road water
test_725,partly_cloudy primary
test_726,primary
test_727,clear primary road slash_burn
test_728,clear primary
test_729,clear primary
test_730,clear primary
test_731,clear primary
test_732,clear primary
test_733,clear primary
test_734,clear primary
test_735,clear primary road
test_736,agriculture clear primary road
test_737,clear primary
test_738,agriculture primary water
test_739,agriculture clear habitation primary
test_740,clear primary
test_741,agriculture primary road
test_742,clear primary
test_743,clear primary road
test_744,clear habitation primary road
test_745,clear primary
test_746,primary
test_747,agriculture road water
test_748,clear primary
test_749,agriculture primary road
test_750,clear primary road water
test_751,clear primary
test_752,agriculture primary
test_753,clear primary
test_754,cloudy haze partly_cloudy
test_755,primary
test_756,agriculture clear habitation primary water
test_757,clear primary
test_758,cloudy haze water
test_759,cloudy
test_760,agriculture clear primary road
test_761,clear cultivation primary
test_762,clear primary
test_763,agriculture clear primary water
test_764,clear primary water
test_765,clear primary
test_766,clear primary
test_767,bare_ground clear cultivation primary
test_768,clear primary
test_769,primary
test_770,clear primary
test_771,primary
test_772,clear primary
test_773,primary road
test_774,clear primary
test_775,agriculture clear water
test_776,clear primary
test_777,clear primary water
test_778,clear primary
test_779,clear primary
test_780,clear primary
test_781,clear primary
test_782,clear primary
test_783,cloudy water
test_784,clear primary
test_785,clear primary
test_786,clear primary
test_787,clear primary
test_788,cloudy
test_789,clear road
test_790,clear primary
test_791,clear primary
test_792,clear primary
test_793,agriculture clear habitation primary
test_794,clear primary road
test_795,primary road water
test_796,clear primary
test_797,clear primary
test_798,clear
test_799,clear primary
test_800,clear primary
test_801,clear habitation primary road
test_802,clear primary
test_803,agriculture clear primary
test_804,primary
test_805,primary
test_806,clear primary
test_807,agriculture clear habitation primary road
test_808,clear primary
test_809,clear primary
test_810,primary
test_811,clear primary
test_812,blooming clear primary water
test_813,clear primary
test_814,agriculture clear primary
test_815,clear primary
test_816,agriculture clear habitation primary road
test_817,agriculture cloudy haze
test_818,partly_cloudy primary water
test_819,agriculture primary road
test_820,clear primary
test_821,agriculture clear primary road water
test_822,clear primary
test_823,cloudy
test_824,clear primary
test_825,primary
test_826,clear primary
test_827,clear primary
test_828,primary
test_829,clear primary
test_830,cloudy
test_831,clear primary
test_832,clear primary
test_833,clear primary
test_834,clear primary
test_835,clear primary
test_836,agriculture clear primary
test_837,agriculture clear primary
test_838,clear primary road water
test_839,clear primary
test_840,clear primary
test_841,clear primary
test_842,clear primary
test_843,primary
test_844,agriculture primary
test_845,agriculture clear primary road
test_846,habitation primary road
test_847,clear primary
test_848,cloudy
test_849,agriculture partly_cloudy primary water
test_850,clear primary
test_851,clear primary
test_852,clear primary
test_853,primary
test_854,clear primary
test_855,clear primary
test_856,clear primary
test_857,clear primary
test_858,primary
test_859,primary
test_860,clear primary
test_861,clear primary
test_862,clear primary
test_863,agriculture clear primary
test_864,clear primary
test_865,cloudy haze
test_866,cultivation partly_cloudy primary road
test_867,cloudy
test_868,clear primary
test_869,clear primary
test_870,clear primary
test_871,agriculture clear primary road
test_872,clear primary
test_873,clear primary
test_874,agriculture clear habitation primary
test_875,primary
test_876,clear primary water
test_877,agriculture clear cultivation primary road
test_878,clear primary
test_879,clear primary
test_880,clear primary
test_881,agriculture clear primary road
test_882,clear primary
test_883,primary
test_884,clear primary
test_885,clear primary
test_886,agriculture partly_cloudy primary road
test_887,agriculture partly_cloudy primary road water
test_888,clear primary
test_889,primary
test_890,clear primary
test_891,agriculture clear habitation primary
test_892,clear primary road
test_893,primary
test_894,clear primary
test_895,agriculture clear primary road water
test_896,primary
test_897,cloudy
test_898,cloudy haze partly_cloudy
test_899,agriculture partly_cloudy primary road water
test_900,clear habitation primary
test_901,clear primary
test_902,cloudy
test_903,clear primary slash_burn water
test_904,primary
test_905,clear primary
test_906,agriculture clear primary
test_907,clear primary
test_908,primary
test_909,agriculture clear primary
test_910,cloudy haze partly_cloudy
test_911,clear primary
test_912,clear partly_cloudy primary
test_913,clear cultivation habitation primary
test_914,agriculture primary
test_915,clear primary
test_916,clear primary
test_917,primary
test_918,clear primary
test_919,primary
test_920,clear primary
test_921,cloudy
test_922,cloudy
test_923,primary
test_924,
test_925,cloudy
test_926,partly_cloudy primary road water
test_927,clear primary
test_928,clear primary
test_929,clear primary
test_930,clear primary
test_931,clear primary
test_932,clear primary
test_933,clear primary
test_934,clear partly_cloudy primary
test_935,clear primary
test_936,primary
test_937,cloudy
test_938,clear primary
test_939,clear primary
test_940,clear primary
test_941,clear primary
test_942,agriculture clear primary road
test_943,primary
test_944,primary water
test_945,clear primary
test_946,clear primary
test_947,clear cultivation partly_cloudy primary
test_948,clear primary
test_949,clear primary
test_950,clear primary slash_burn water
test_951,agriculture clear primary road water
test_952,agriculture primary road
test_953,agriculture clear habitation primary
test_954,cultivation partly_cloudy primary
test_955,clear primary
test_956,agriculture clear water
test_957,agriculture haze primary road water
test_958,primary
test_959,primary
test_960,clear partly_cloudy primary
test_961,clear primary road
test_962,primary
test_963,clear primary water
test_964,clear primary
test_965,clear primary
test_966,clear primary
test_967,agriculture clear primary
test_968,clear primary
test_969,clear primary
test_970,clear partly_cloudy primary
test_971,clear primary
test_972,clear primary
test_973,agriculture partly_cloudy primary
test_974,agriculture clear primary road
test_975,clear primary
test_976,clear primary
test_977,clear primary road water
test_978,clear primary
test_979,clear primary
test_980,clear cultivation primary road
test_981,primary
test_982,clear primary
test_983,clear primary
test_984,agriculture clear primary road water
test_985,primary
test_986,agriculture clear primary
test_987,clear primary
test_988,clear primary
test_989,clear primary
test_990,primary
test_991,clear primary
test_992,clear primary
test_993,agriculture clear primary road
test_994,clear primary
test_995,clear primary
test_996,clear primary
test_997,clear primary
test_998,primary
test_999,clear primary
test_1000,clear primary water
test_1001,clear primary
test_1002,clear primary
test_1003,agriculture clear haze primary road
test_1004,primary
test_1005,clear primary
test_1006,clear primary
test_1007,clear primary
test_1008,cloudy
test_1009,agriculture clear primary road
test_1010,agriculture
test_1011,clear primary
test_1012,clear primary
test_1013,clear primary
test_1014,clear primary road
test_1015,clear primary
test_1016,clear primary
test_1017,
test_1018,partly_cloudy primary selective_logging water
test_1019,primary water
test_1020,clear primary
test_1021,cloudy cultivation habitation haze primary selective_logging
test_1022,cloudy
test_1023,agriculture primary road
test_1024,clear primary
test_1025,agriculture clear primary road water
test_1026,primary
test_1027,clear primary
test_1028,partly_cloudy primary
test_1029,water
test_1030,clear primary
test_1031,clear primary
test_1032,primary
test_1033,clear primary water
test_1034,clear primary
test_1035,clear primary
test_1036,clear primary
test_1037,clear primary
test_1038,clear primary road
test_1039,cloudy
test_1040,clear primary
test_1041,clear primary
test_1042,clear primary
test_1043,cloudy
test_1044,primary
test_1045,clear primary
test_1046,clear primary
test_1047,clear primary water
test_1048,clear primary
test_1049,clear primary
test_1050,clear primary
test_1051,clear primary
test_1052,clear primary
test_1053,clear primary water
test_1054,clear primary
test_1055,clear primary
test_1056,clear primary
test_1057,clear primary
test_1058,primary
test_1059,clear primary
test_1060,agriculture clear primary
test_1061,clear primary
test_1062,agriculture clear primary
test_1063,clear primary
test_1064,agriculture clear primary
test_1065,clear primary
test_1066,clear cultivation habitation primary road
test_1067,clear partly_cloudy primary
test_1068,cloudy haze
test_1069,clear primary
test_1070,agriculture clear primary
test_1071,agriculture clear primary road
test_1072,clear primary
test_1073,agriculture bare_ground clear cultivation primary road water
test_1074,clear primary
test_1075,agriculture primary water
test_1076,clear primary
test_1077,clear primary
test_1078,agriculture clear primary road
test_1079,clear primary
test_1080,clear primary
test_1081,clear primary
test_1082,primary
test_1083,clear habitation primary
test_1084,clear primary
test_1085,primary
test_1086,agriculture clear habitation primary road water
test_1087,agriculture artisinal_mine clear habitation
test_1088,clear primary
test_1089,agriculture clear cultivation primary road water
test_1090,clear primary
test_1091,clear primary
test_1092,agriculture road
test_1093,clear primary
test_1094,clear primary
test_1095,clear primary
test_1096,clear cultivation primary
test_1097,primary
test_1098,primary
test_1099,clear primary
test_1100,primary
test_1101,primary
test_1102,clear primary road
test_1103,clear primary
test_1104,clear primary
test_1105,clear primary
test_1106,clear primary
test_1107,agriculture clear primary road water
test_1108,cloudy road water
test_1109,agriculture clear primary water
test_1110,clear primary
test_1111,clear primary
test_1112,agriculture clear primary
test_1113,clear primary
test_1114,
test_1115,clear primary
test_1116,
test_1117,clear primary
test_1118,cloudy haze partly_cloudy road
test_1119,clear primary
test_1120,clear primary
test_1121,clear primary
test_1122,clear primary road
test_1123,clear primary
test_1124,clear primary
test_1125,clear primary
test_1126,clear
test_1127,agriculture clear habitation primary road
test_1128,primary
test_1129,partly_cloudy primary
test_1130,clear primary
test_1131,cloudy
test_1132,cloudy haze
test_1133,clear primary
test_1134,clear primary road water
test_1135,primary
test_1136,clear primary
test_1137,agriculture clear primary
test_1138,clear primary
test_1139,cloudy haze
test_1140,clear primary
test_1141,primary
test_1142,primary
test_1143,clear primary
test_1144,primary
test_1145,clear primary
test_1146,clear primary
test_1147,primary
test_1148,clear primary
test_1149,clear primary
test_1150,clear primary
test_1151,clear primary
test_1152,clear primary
test_1153,clear primary
test_1154,primary
test_1155,clear primary
test_1156,primary
test_1157,primary
test_1158,agriculture clear primary
test_1159,primary
test_1160,clear primary
test_1161,cloudy primary
test_1162,primary
test_1163,clear primary
test_1164,agriculture primary
test_1165,agriculture primary road
test_1166,clear primary
test_1167,clear primary
test_1168,agriculture clear primary water
test_1169,clear primary
test_1170,clear primary
test_1171,clear primary water
test_1172,clear primary
test_1173,primary
test_1174,cloudy partly_cloudy
test_1175,agriculture partly_cloudy primary
test_1176,primary
test_1177,cloudy
test_1178,clear primary
test_1179,clear primary
test_1180,partly_cloudy primary
test_1181,clear partly_cloudy primary
test_1182,clear habitation primary
test_1183,primary
test_1184,clear primary
test_1185,agriculture clear primary road water
test_1186,cloudy road
test_1187,clear primary
test_1188,agriculture clear primary
test_1189,clear primary
test_1190,bare_ground cloudy
test_1191,agriculture clear primary road water
test_1192,clear primary
test_1193,clear primary
test_1194,clear primary
test_1195,agriculture clear primary water
test_1196,agriculture clear primary road water
test_1197,clear primary
test_1198,clear primary
test_1199,clear primary
test_1200,artisinal_mine clear primary
test_1201,clear primary
test_1202,agriculture bare_ground clear primary road water
test_1203,clear primary
test_1204,agriculture primary
test_1205,clear primary
test_1206,agriculture clear primary road
test_1207,clear primary
test_1208,primary
test_1209,clear primary
test_1210,agriculture clear cultivation primary water
test_1211,clear primary
test_1212,clear primary
test_1213,clear primary
test_1214,agriculture clear water
test_1215,
test_1216,clear primary
test_1217,agriculture clear cloudy cultivation primary
test_1218,partly_cloudy primary
test_1219,clear haze primary road
test_1220,primary
test_1221,primary
test_1222,clear primary
test_1223,primary
test_1224,clear primary
test_1225,clear primary
test_1226,clear cultivation primary
test_1227,agriculture cloudy haze partly_cloudy road
test_1228,clear haze
test_1229,agriculture clear cultivation habitation primary road
test_1230,clear primary
test_1231,partly_cloudy primary
test_1232,clear primary
test_1233,clear primary
test_1234,clear primary
test_1235,clear primary
test_1236,clear cloudy
test_1237,agriculture partly_cloudy primary road
test_1238,primary
test_1239,agriculture clear primary road
test_1240,clear primary
test_1241,partly_cloudy primary road selective_logging
test_1242,primary
test_1243,clear primary
test_1244,clear primary
test_1245,cloudy
test_1246,clear primary
test_1247,agriculture primary road
test_1248,clear primary
test_1249,clear primary
test_1250,clear primary
test_1251,clear primary
test_1252,primary
test_1253,primary road
test_1254,partly_cloudy primary
test_1255,primary water
test_1256,primary water
test_1257,clear primary
test_1258,partly_cloudy primary road
test_1259,agriculture clear primary road
test_1260,clear primary
test_1261,primary
test_1262,clear primary
test_1263,clear primary
test_1264,clear primary
test_1265,clear primary
test_1266,clear primary
test_1267,clear primary
test_1268,clear primary
test_1269,clear primary
test_1270,primary
test_1271,clear primary
test_1272,agriculture clear cultivation habitation primary road
test_1273,clear primary
test_1274,clear primary
test_1275,primary
test_1276,agriculture clear primary road water
test_1277,primary road water
test_1278,partly_cloudy primary
test_1279,clear partly_cloudy primary
test_1280,agriculture bare_ground clear primary water
test_1281,clear primary
test_1282,clear partly_cloudy primary road
test_1283,cloudy
test_1284,clear primary
test_1285,primary
test_1286,clear primary
test_1287,agriculture clear cultivation habitation partly_cloudy primary
test_1288,clear habitation partly_cloudy primary road
test_1289,clear primary
test_1290,clear primary
test_1291,clear primary
test_1292,agriculture clear habitation primary road
test_1293,clear partly_cloudy primary
test_1294,partly_cloudy primary road
test_1295,primary
test_1296,clear primary
test_1297,primary
test_1298,clear primary
test_1299,clear primary
test_1300,agriculture clear
test_1301,clear primary
test_1302,agriculture cloudy road
test_1303,agriculture clear habitation primary road
test_1304,clear primary
test_1305,clear primary
test_1306,primary
